Umsatzanzeige;Kontokorrent Mueller Praezisionstechnik GmbH (fiktiv)
Zeitraum;01.01.2025 - 31.12.2025

Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Begünstigter/Zahlungspflichtiger;Betrag;Saldo;Währung
18.02.2025;18.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-17.508,49;-305.377,05;EUR
18.02.2025;18.02.2025;Gutschrift;Zahlung Kunde RE-46559;Kunde Gmbh;17.516,72;-287.868,56;EUR
17.02.2025;17.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-1.593,63;-305.385,28;EUR
17.02.2025;17.02.2025;Gutschrift;Zahlung Kunde RE-60020;Kunde Gmbh;15.032,07;-303.791,65;EUR
14.02.2025;14.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-24.848,39;-318.823,72;EUR
14.02.2025;14.02.2025;Gutschrift;Zahlung Kunde RE-33980;Kunde Gmbh;21.535,98;-293.975,33;EUR
13.02.2025;13.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-42.876,87;-315.511,31;EUR
13.02.2025;13.02.2025;Gutschrift;Zahlung Kunde RE-50573;Kunde Gmbh;43.970,00;-272.634,44;EUR
12.02.2025;12.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-16.444,19;-316.604,44;EUR
12.02.2025;12.02.2025;Gutschrift;Zahlung Kunde RE-14515;Kunde Gmbh;24.706,02;-300.160,25;EUR
11.02.2025;11.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-43.282,17;-324.866,27;EUR
11.02.2025;11.02.2025;Gutschrift;Zahlung Kunde RE-81706;Kunde Gmbh;43.853,60;-281.584,10;EUR
10.02.2025;10.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-7.077,50;-325.437,70;EUR
10.02.2025;10.02.2025;Gutschrift;Zahlung Kunde RE-57728;Kunde Gmbh;15.108,68;-318.360,20;EUR
07.02.2025;07.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-20.032,91;-333.468,88;EUR
07.02.2025;07.02.2025;Gutschrift;Zahlung Kunde RE-68435;Kunde Gmbh;19.725,99;-313.435,97;EUR
06.02.2025;06.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-7.866,34;-333.161,96;EUR
06.02.2025;06.02.2025;Gutschrift;Zahlung Kunde RE-34294;Kunde Gmbh;16.357,12;-325.295,62;EUR
05.02.2025;05.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-17.645,19;-341.652,74;EUR
05.02.2025;05.02.2025;Gutschrift;Zahlung Kunde RE-48411;Kunde Gmbh;22.266,39;-324.007,55;EUR
04.02.2025;04.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.237,24;-346.273,94;EUR
04.02.2025;04.02.2025;Gutschrift;Zahlung Kunde RE-88483;Kunde Gmbh;44.127,90;-305.036,70;EUR
03.02.2025;03.02.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-38.893,87;-349.164,60;EUR
03.02.2025;03.02.2025;Gutschrift;Zahlung Kunde RE-97889;Kunde Gmbh;41.116,13;-310.270,73;EUR
31.01.2025;31.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-13.697,24;-351.386,86;EUR
31.01.2025;31.01.2025;Gutschrift;Zahlung Kunde RE-59922;Kunde Gmbh;17.534,55;-337.689,62;EUR
30.01.2025;30.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.916,19;-355.224,17;EUR
30.01.2025;30.01.2025;Gutschrift;Zahlung Kunde RE-17261;Kunde Gmbh;27.922,22;-335.307,98;EUR
29.01.2025;29.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.613,75;-363.230,20;EUR
29.01.2025;29.01.2025;Gutschrift;Zahlung Kunde RE-43501;Kunde Gmbh;37.226,68;-321.616,45;EUR
28.01.2025;28.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-6.059,82;-358.843,13;EUR
28.01.2025;28.01.2025;Gutschrift;Zahlung Kunde RE-91978;Kunde Gmbh;15.427,65;-352.783,31;EUR
27.01.2025;27.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-34.210,60;-368.210,96;EUR
27.01.2025;27.01.2025;Gutschrift;Zahlung Kunde RE-27015;Kunde Gmbh;44.456,46;-334.000,36;EUR
24.01.2025;24.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-22.627,57;-378.456,82;EUR
24.01.2025;24.01.2025;Gutschrift;Zahlung Kunde RE-55554;Kunde Gmbh;19.191,56;-355.829,25;EUR
23.01.2025;23.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-12.129,62;-375.020,81;EUR
23.01.2025;23.01.2025;Gutschrift;Zahlung Kunde RE-93358;Kunde Gmbh;25.281,14;-362.891,19;EUR
22.01.2025;22.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-43.364,89;-388.172,33;EUR
22.01.2025;22.01.2025;Gutschrift;Zahlung Kunde RE-40089;Kunde Gmbh;35.632,25;-344.807,44;EUR
21.01.2025;21.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-33.720,57;-380.439,69;EUR
21.01.2025;21.01.2025;Gutschrift;Zahlung Kunde RE-50341;Kunde Gmbh;44.109,37;-346.719,12;EUR
20.01.2025;20.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-23.822,32;-390.828,49;EUR
20.01.2025;20.01.2025;Gutschrift;Zahlung Kunde RE-61522;Kunde Gmbh;31.377,19;-367.006,17;EUR
17.01.2025;17.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.679,90;-398.383,36;EUR
17.01.2025;17.01.2025;Gutschrift;Zahlung Kunde RE-74880;Kunde Gmbh;27.965,33;-378.703,46;EUR
16.01.2025;16.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-13.570,00;-406.668,79;EUR
16.01.2025;16.01.2025;Gutschrift;Zahlung Kunde RE-95210;Kunde Gmbh;18.188,44;-393.098,79;EUR
15.01.2025;15.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-34.268,17;-411.287,23;EUR
15.01.2025;15.01.2025;Gutschrift;Zahlung Kunde RE-68596;Kunde Gmbh;29.242,82;-377.019,06;EUR
14.01.2025;14.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-36.120,31;-406.261,88;EUR
14.01.2025;14.01.2025;Gutschrift;Zahlung Kunde RE-77401;Kunde Gmbh;44.341,55;-370.141,57;EUR
13.01.2025;13.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-27.070,23;-414.483,12;EUR
13.01.2025;13.01.2025;Gutschrift;Zahlung Kunde RE-82227;Kunde Gmbh;36.992,41;-387.412,89;EUR
10.01.2025;10.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-8.073,35;-424.405,30;EUR
10.01.2025;10.01.2025;Gutschrift;Zahlung Kunde RE-12416;Kunde Gmbh;16.108,48;-416.331,95;EUR
09.01.2025;09.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-41.506,11;-432.440,43;EUR
09.01.2025;09.01.2025;Gutschrift;Zahlung Kunde RE-42826;Kunde Gmbh;39.110,37;-390.934,32;EUR
08.01.2025;08.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-11.741,86;-430.044,69;EUR
08.01.2025;08.01.2025;Gutschrift;Zahlung Kunde RE-55482;Kunde Gmbh;20.337,00;-418.302,83;EUR
07.01.2025;07.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-28.906,43;-438.639,83;EUR
07.01.2025;07.01.2025;Gutschrift;Zahlung Kunde RE-98100;Kunde Gmbh;28.370,61;-409.733,40;EUR
06.01.2025;06.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-32.048,24;-438.104,01;EUR
06.01.2025;06.01.2025;Gutschrift;Zahlung Kunde RE-48005;Kunde Gmbh;37.784,95;-406.055,77;EUR
03.01.2025;03.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-24.921,19;-443.840,72;EUR
03.01.2025;03.01.2025;Gutschrift;Zahlung Kunde RE-79610;Kunde Gmbh;33.860,13;-418.919,53;EUR
02.01.2025;02.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-19.635,79;-452.779,66;EUR
02.01.2025;02.01.2025;Gutschrift;Zahlung Kunde RE-50893;Kunde Gmbh;20.434,38;-433.143,87;EUR
01.01.2025;01.01.2025;Überweisung;Lieferant Material / Löhne;Lieferant AG;-93.421,72;-453.578,25;EUR
01.01.2025;01.01.2025;Gutschrift;Zahlung Kunde RE-16603;Kunde Gmbh;19.843,47;-360.156,53;EUR
